Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
887,648,691,591,1050,407,722,344,740,785
886,650,690,592,1049,411,720,345,739,788
886,651,689,594,1047,410,717,346,739,791
885,651,688,594,1045,409,716,346,737,790
885,651,688,594,1044,410,716,346,738,790
886,651,689,595,1046,410,716,345,738,791
885,652,689,594,1045,410,715,346,738,792
885,652,688,595,1045,410,715,347,738,792
886,652,689,595,1046,410,715,347,738,792
886,653,688,595,1046,411,715,347,739,793
885,653,689,595,1044,409,715,347,737,793
883,652,685,596,1043,408,714,346,735,792
884,653,688,595,1042,409,713,347,736,793
884,653,688,595,1043,408,714,347,737,793
883,654,688,595,1044,409,713,347,736,794
883,654,685,596,1043,410,712,348,736,794
883,654,685,596,1044,410,712,348,736,794
883,655,685,597,1044,411,712,349,736,794
882,654,684,598,1042,411,710,350,735,794
881,655,683,598,1042,411,710,350,734,795
883,656,684,599,1042,412,710,350,734,796
885,658,684,601,1043,413,710,351,735,797
885,658,684,601,1044,413,710,352,736,796
884,656,684,599,1043,412,710,351,736,796
883,655,683,600,1043,412,709,350,735,797
881,655,683,600,1042,412,708,351,734,797
881,654,682,599,1040,411,706,351,733,793
880,652,680,598,1039,410,705,351,731,790
881,651,681,595,1039,409,706,350,734,788
884,651,686,596,1041,409,708,350,736,789
886,652,689,595,1043,410,709,350,738,791
886,652,688,595,1043,410,709,350,738,790
884,651,687,595,1041,409,708,350,738,790
882,652,684,596,1039,408,706,350,736,791
882,653,682,598,1039,408,706,350,735,793
882,654,683,598,1039,410,706,351,736,794
882,653,683,598,1039,410,706,351,736,794
881,654,682,600,1038,410,705,351,733,794
880,654,681,600,1039,410,705,351,733,795
880,654,681,600,1038,411,704,351,732,795
880,655,681,601,1038,410,704,352,733,796
880,656,680,602,1038,411,704,352,733,798
879,658,680,603,1037,411,703,352,731,801
876,666,678,613,1035,410,701,355,735,821
899,719,701,681,1034,429,686,387,778,882
907,728,708,695,1031,428,679,395,789,891
909,730,712,704,1025,420,677,401,795,900
908,735,711,708,1023,419,677,401,795,902
912,733,712,710,1022,421,679,402,799,902
918,731,717,707,1025,423,683,402,807,900
925,728,724,706,1029,425,685,402,817,897
940,716,739,707,1030,413,683,402,841,891
965,706,772,717,1026,392,675,413,875,885
992,703,807,721,1033,390,700,421,909,885
1118,673,916,650,1183,435,847,434,1007,837
1102,686,902,658,1177,439,833,433,997,847
1087,682,886,661,1174,441,817,432,977,850
1068,693,867,664,1170,446,808,426,949,861
1045,712,842,676,1159,455,797,432,917,873
1024,728,823,685,1148,468,787,438,893,885
1004,746,805,700,1143,488,781,445,872,902
997,745,795,708,1131,494,766,448,870,909
997,742,794,709,1127,487,762,443,873,910
996,743,792,704,1124,489,760,444,869,905
998,741,792,700,1129,507,764,452,870,897
1002,731,795,690,1134,504,766,447,872,883
999,726,792,681,1133,500,762,441,867,877
996,716,786,669,1132,492,759,432,861,864
992,705,785,654,1130,487,759,424,853,853
989,693,781,647,1122,475,747,418,854,843
992,685,784,643,1120,469,746,413,860,836
995,679,785,639,1117,462,742,413,867,833
997,668,788,631,1113,453,738,412,874,818
1000,653,788,614,1116,448,740,399,875,797
999,644,787,603,1113,438,740,393,874,786
997,637,783,600,1112,436,736,390,869,780
994,628,780,588,1110,431,732,383,865,768
987,624,774,583,1108,428,730,379,858,765
982,632,768,592,1105,429,724,384,853,781
980,642,768,603,1104,430,718,388,851,792
981,647,770,608,1105,433,722,390,853,798
982,649,770,610,1106,437,723,393,852,800
985,644,772,605,1105,435,723,392,860,789
989,639,777,599,1106,432,727,389,864,782
990,629,777,589,1106,430,726,385,864,768
993,620,778,581,1106,423,724,381,867,757
993,619,779,578,1108,425,724,379,867,753
