Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
1052,720,833,746,1066,407,734,432,967,930
1051,720,833,747,1065,406,734,432,966,930
1052,720,833,747,1066,406,734,432,966,930
1053,720,834,746,1066,406,735,432,967,928
1053,720,834,746,1066,406,737,432,969,928
1053,723,834,748,1068,406,736,432,968,932
1051,724,833,750,1067,408,736,434,967,934
1051,724,833,750,1067,408,735,434,967,934
1052,723,834,748,1066,408,736,433,968,931
1053,723,834,748,1066,408,736,432,967,931
1053,723,834,748,1066,407,736,432,968,931
1053,722,834,748,1067,408,736,432,968,932
1054,722,834,748,1067,408,737,432,968,932
1053,722,835,748,1067,407,737,432,968,932
1053,722,834,747,1067,407,735,432,968,932
1053,722,834,747,1067,407,734,432,968,932
1053,722,834,747,1067,407,735,432,968,932
1054,722,834,746,1068,406,735,432,969,932
1054,722,835,747,1068,406,736,432,969,933
1053,722,835,747,1067,406,735,432,968,933
1052,723,834,747,1067,407,734,432,968,932
1053,723,835,748,1067,407,734,431,968,932
1053,722,835,747,1067,407,734,431,968,931
1053,721,834,747,1067,405,736,432,967,931
1052,720,833,747,1065,406,735,431,966,931
1051,719,832,747,1065,405,733,432,966,931
1051,720,833,746,1065,405,734,432,966,931
1053,722,834,747,1067,406,737,432,966,932
1053,723,834,749,1068,407,736,433,967,934
1051,723,833,749,1068,407,736,433,967,933
1050,722,832,749,1065,407,735,433,964,933
1050,721,832,748,1065,405,734,432,964,931
1050,720,832,748,1065,406,735,432,964,932
1050,720,832,748,1065,406,733,432,964,932
1050,720,832,748,1064,406,734,432,965,932
1050,719,832,747,1064,405,733,432,965,931
1050,719,832,747,1064,406,733,432,965,929
1050,719,832,746,1064,405,735,432,966,927
1051,720,833,746,1064,405,735,432,966,929
1052,723,833,748,1066,407,735,433,965,932
1051,724,833,750,1067,408,735,433,966,933
1051,723,833,749,1066,409,736,434,965,932
1051,721,833,748,1066,407,736,433,965,931
1050,720,832,746,1065,406,733,432,966,929
1050,720,832,747,1064,406,733,432,965,930
1050,719,832,745,1064,406,734,432,966,928
1051,718,833,744,1063,406,733,432,966,926
1050,717,832,742,1063,405,734,431,965,925
1051,718,832,744,1063,405,735,432,966,927
1052,721,833,747,1066,407,737,432,965,931
