Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
873,508,672,502,1002,340,655,293,758,661
874,508,673,502,1003,347,656,296,761,659
883,505,677,500,1007,341,654,299,770,656
892,499,687,496,1014,341,653,301,784,650
900,483,693,484,1019,336,656,298,792,631
910,470,700,473,1024,329,661,295,800,614
913,466,703,467,1032,325,665,290,801,612
911,469,701,467,1031,326,665,288,796,612
910,465,701,461,1031,325,664,290,796,601
916,445,702,442,1036,318,665,285,795,569
918,426,705,418,1042,311,671,273,794,539
914,416,703,403,1047,308,670,269,781,518
903,408,699,385,1046,310,667,263,762,502
899,408,694,384,1043,307,665,260,761,502
900,418,690,394,1044,311,667,260,761,518
897,431,686,413,1040,311,665,265,762,545
897,443,689,425,1038,318,665,268,763,564
894,451,685,432,1037,323,666,270,761,577
894,457,683,441,1034,324,665,274,760,582
896,454,686,436,1037,325,667,273,762,577
895,451,686,432,1038,325,668,273,761,575
894,455,685,436,1037,326,668,274,760,580
895,460,685,444,1035,327,667,276,761,588
893,468,686,453,1033,331,666,278,762,604
893,480,684,465,1034,336,665,282,764,625
886,511,682,487,1033,347,664,285,754,667
856,557,664,534,1011,380,667,290,732,720
845,582,660,563,987,381,667,297,736,749
837,595,656,582,963,384,660,308,734,764
845,502,661,529,937,309,676,277,762,666
867,489,678,519,951,300,671,284,787,654
880,472,689,502,958,291,670,288,792,634
891,469,695,490,979,293,680,288,793,630
894,476,697,487,992,298,680,287,790,634
899,485,697,499,997,304,680,287,797,650
904,485,703,498,1000,306,682,287,802,640
904,463,700,476,999,297,678,289,800,612
907,447,701,456,1002,290,675,287,797,588
906,436,700,443,1009,287,674,276,788,575
906,439,700,443,1013,288,673,275,789,582
910,459,705,463,1021,298,671,280,798,613
910,481,707,487,1018,305,670,287,805,646
910,501,709,507,1014,312,670,293,808,667
914,511,714,517,1017,317,669,299,815,679
917,518,718,528,1020,322,668,308,820,687
919,520,719,531,1014,320,664,315,824,688
922,520,722,533,1013,319,665,315,825,691
923,524,722,533,1020,324,672,314,823,696
919,530,720,540,1019,330,673,315,820,704
922,535,723,547,1019,332,674,317,823,709
922,535,723,547,1022,332,674,316,824,709
918,538,720,547,1018,334,670,318,822,712
920,537,722,547,1020,334,673,316,822,710
920,534,721,543,1020,331,673,316,821,704
916,529,717,535,1020,331,673,315,814,701
915,529,717,535,1020,332,672,315,815,699
915,531,716,537,1021,333,673,314,813,702
914,533,715,539,1018,334,670,316,813,704
915,536,716,542,1017,332,673,316,815,708
916,538,716,544,1019,334,674,315,816,710
916,540,717,547,1017,334,673,317,817,715
916,543,718,551,1017,336,672,319,818,718
916,545,719,550,1017,336,674,319,817,719
914,545,717,552,1016,338,672,320,814,720
915,545,718,553,1018,338,674,320,816,719
917,548,720,553,1021,339,678,317,815,725
913,553,716,558,1018,343,675,320,812,729
911,554,715,558,1017,344,673,319,812,729
911,552,715,556,1017,343,675,318,812,728
911,552,715,556,1017,343,675,318,811,729
912,553,716,557,1017,344,673,319,813,730
913,553,716,557,1017,344,673,320,814,730
913,552,717,557,1018,345,673,320,814,729
914,550,717,556,1019,344,675,320,815,726
918,548,720,553,1023,344,678,319,816,724
916,549,718,555,1023,344,678,319,813,725
914,551,716,555,1021,346,676,320,811,726
914,552,717,557,1023,348,678,320,812,727
908,553,714,557,1018,348,674,324,806,727
894,556,701,558,999,347,667,325,791,732
875,572,693,562,996,353,675,316,772,742
857,578,681,566,988,356,686,304,751,742
908,539,731,591,944,313,649,330,866,709
946,540,765,603,963,320,638,359,907,724
975,551,799,614,984,329,648,377,940,734
1003,562,827,628,1008,338,667,395,964,748
1024,572,847,636,1030,349,691,403,984,760
1035,577,857,640,1040,355,698,410,994,767
1042,577,863,640,1046,355,706,408,1001,767
1043,575,866,639,1046,353,708,410,1001,764
1047,575,867,635,1046,352,708,409,1003,759
1050,573,870,630,1048,351,711,410,1008,755
1052,572,870,629,1048,350,711,406,1010,754
1051,570,869,627,1046,349,709,405,1009,752
1051,567,871,624,1047,349,709,406,1011,747
1052,566,868,618,1048,348,711,401,1010,742
1052,563,868,611,1048,345,713,396,1012,733
1053,549,871,601,1049,341,712,394,1019,721
1049,545,868,595,1046,335,710,394,1015,717
1042,546,859,596,1043,336,707,394,1003,718
1036,547,853,600,1039,342,704,394,995,723
1153,557,939,538,1262,310,888,297,1025,732
1127,548,915,535,1233,300,864,301,1005,729
1106,556,895,541,1209,299,850,302,983,736
1077,571,874,545,1204,316,845,301,950,746
1041,595,851,554,1194,336,840,303,904,755
1005,608,824,556,1170,351,836,301,873,756
