scorer,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000
bodyparts,nose,nose,nose,ear1,ear1,ear1,ear2,ear2,ear2,neck,neck,neck,hip1,hip1,hip1,hip2,hip2,hip2,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
43,289.97845458984375,145.48880004882812,1.0,275.2900695800781,154.46182250976562,1.0,299.8944091796875,174.96217346191406,1.0,268.4917907714844,177.2793426513672,1.0,211.80296325683594,179.59909057617188,1.0,222.4381103515625,217.60107421875,1.0,184.940673828125,211.0966339111328,1.0
44,286.21392822265625,139.6190643310547,1.0,273.35626220703125,151.86817932128906,1.0,298.60968017578125,171.1939239501953,1.0,268.2326965332031,174.3238525390625,1.0,211.26571655273438,177.47579956054688,1.0,224.50787353515625,214.74461364746094,1.0,185.9595489501953,210.9573516845703,1.0
45,277.6005859375,130.78419494628906,1.0,266.4599914550781,148.43203735351562,1.0,295.1679992675781,161.4995880126953,1.0,265.04656982421875,170.00595092773438,1.0,211.10525512695312,175.05007934570312,1.0,225.3801727294922,211.1374969482422,1.0,190.2984619140625,209.30824279785156,1.0
46,273.948486328125,127.27691650390625,1.0,264.08154296875,144.77639770507812,1.0,293.0185546875,156.1281280517578,1.0,263.2246398925781,167.73924255371094,1.0,209.7415008544922,174.06155395507812,1.0,230.437744140625,207.96060180664062,1.0,191.28480529785156,208.8949432373047,1.0
47,259.51666259765625,124.3337631225586,1.0,255.40420532226562,146.1509552001953,1.0,286.0493469238281,149.92276000976562,1.0,259.5141296386719,164.63961791992188,1.0,208.88877868652344,177.60833740234375,1.0,233.19760131835938,210.30882263183594,1.0,191.3824920654297,212.54881286621094,1.0
48,245.1498260498047,118.05870056152344,1.0,243.69036865234375,144.50531005859375,1.0,275.78033447265625,142.8605499267578,1.0,254.1271209716797,161.37477111816406,1.0,206.6219482421875,178.46922302246094,1.0,234.61050415039062,208.84669494628906,1.0,194.3882598876953,214.3111572265625,1.0
49,232.54283142089844,118.2083969116211,1.0,236.72999572753906,143.65200805664062,1.0,268.1455993652344,137.94944763183594,1.0,248.91448974609375,158.38308715820312,1.0,204.35740661621094,177.08831787109375,1.0,234.78671264648438,207.26258850097656,1.0,194.87857055664062,213.98291015625,1.0
50,218.24009704589844,114.41546630859375,1.0,223.50733947753906,141.26295471191406,1.0,253.7869873046875,131.3276824951172,1.0,238.75363159179688,154.81329345703125,1.0,199.9392547607422,176.38925170898438,1.0,233.9053192138672,203.84906005859375,1.0,196.34095764160156,212.41253662109375,1.0
51,213.9053192138672,109.54975891113281,1.0,219.91908264160156,137.26065063476562,1.0,250.57054138183594,129.3197784423828,1.0,235.2753448486328,152.47462463378906,1.0,199.64724731445312,176.30560302734375,1.0,235.0482177734375,201.81878662109375,1.0,198.415771484375,212.0496826171875,1.0
52,210.86854553222656,98.05418395996094,1.0,213.63650512695312,126.27819061279297,1.0,242.90557861328125,118.28487396240234,1.0,229.41397094726562,141.96536254882812,1.0,199.79115295410156,173.22398376464844,1.0,237.57394409179688,193.00039672851562,1.0,203.69773864746094,209.1434326171875,1.0
53,209.439697265625,86.3959732055664,1.0,212.85157775878906,115.8159408569336,1.0,240.7375946044922,108.05046844482422,1.0,226.5565185546875,131.3358612060547,1.0,197.0693817138672,167.21815490722656,1.0,239.6149139404297,179.2090606689453,1.0,208.3391876220703,203.6835479736328,1.0
54,201.39791870117188,74.59056854248047,1.0,207.85379028320312,104.48157501220703,1.0,234.64537048339844,93.12818908691406,1.0,224.33074951171875,118.64352416992188,1.0,199.11793518066406,160.84771728515625,1.0,240.6314239501953,167.8512420654297,0.9999998807907104,213.15953063964844,196.80831909179688,1.0
55,197.7992706298828,63.68077087402344,1.0,204.39292907714844,92.74987030029297,1.0,231.52456665039062,80.96617889404297,1.0,221.21109008789062,106.62934875488281,1.0,204.33982849121094,148.36883544921875,1.0,244.60215759277344,155.78741455078125,1.0,220.29115295410156,185.11233520507812,1.0
56,194.03521728515625,52.58116912841797,1.0,198.25189208984375,79.83574676513672,1.0,225.79217529296875,69.420166015625,1.0,214.7804718017578,95.438720703125,1.0,200.63185119628906,136.13307189941406,1.0,240.5801544189453,143.03248596191406,1.0,218.8439483642578,175.96041870117188,0.9999998807907104
57,189.45260620117188,43.3004264831543,1.0,191.85995483398438,65.0988998413086,1.0,219.57223510742188,57.4039306640625,1.0,206.9562530517578,81.8307113647461,1.0,194.22476196289062,131.00985717773438,1.0,232.13748168945312,132.18275451660156,1.0,216.12318420410156,166.6011962890625,0.9999135732650757
58,184.5330047607422,37.90161895751953,1.0,185.67701721191406,55.55657196044922,1.0,214.68031311035156,47.84253692626953,1.0,202.51101684570312,73.1571273803711,0.9999998807907104,188.70703125,125.29240417480469,1.0,227.2868194580078,123.72126770019531,1.0,214.85818481445312,158.51312255859375,1.0
59,183.4325408935547,35.988014221191406,1.0,186.2742919921875,52.601463317871094,1.0,214.34742736816406,43.84916305541992,1.0,201.37269592285156,67.88746643066406,1.0,187.3094940185547,122.94078826904297,1.0,225.62261962890625,116.2249755859375,1.0,214.85040283203125,155.70947265625,1.0
60,184.03407287597656,30.532699584960938,1.0,184.25135803222656,49.870548248291016,1.0,213.7064971923828,42.456329345703125,1.0,200.7191619873047,67.11032104492188,1.0,187.33236694335938,122.67584991455078,1.0,226.04452514648438,115.53250885009766,1.0,215.76560974121094,154.27682495117188,1.0
61,177.8957977294922,35.50358963012695,1.0,180.56228637695312,55.605987548828125,1.0,210.46588134765625,43.49173355102539,1.0,199.5924835205078,70.33438110351562,1.0,187.9591827392578,124.5411376953125,1.0,225.64718627929688,116.05055236816406,1.0,217.11593627929688,156.7253875732422,1.0
62,169.18667602539062,49.44446563720703,1.0,182.4625701904297,68.63250732421875,1.0,205.6522216796875,49.29668426513672,1.0,200.2730712890625,77.31722259521484,1.0,189.10780334472656,128.43740844726562,1.0,226.87840270996094,119.79548645019531,1.0,217.6060791015625,159.17120361328125,0.9999998807907104
63,165.12355041503906,51.911434173583984,1.0,178.63763427734375,71.0805892944336,1.0,201.60211181640625,49.741966247558594,1.0,199.08209228515625,78.62583923339844,1.0,189.55162048339844,129.56430053710938,1.0,227.40744018554688,120.34280395507812,1.0,218.78013610839844,159.9879150390625,0.999998927116394
64,155.15872192382812,57.01282501220703,1.0,171.39341735839844,76.35277557373047,1.0,191.7710723876953,54.17800521850586,1.0,192.2841796875,82.84725952148438,1.0,188.71092224121094,131.38613891601562,1.0,225.1821746826172,120.8428726196289,1.0,220.2962188720703,162.06007385253906,0.9999755620956421
65,143.36851501464844,68.32743072509766,1.0,166.1041259765625,86.45560455322266,1.0,180.27503967285156,57.913578033447266,1.0,187.29861450195312,85.48977661132812,1.0,188.251220703125,132.42135620117188,1.0,223.9738311767578,120.54019165039062,0.9999998807907104,220.8723602294922,159.11366271972656,0.9999687671661377
66,135.96408081054688,82.71510314941406,1.0,162.08448791503906,95.1925277709961,1.0,172.51443481445312,65.9354476928711,1.0,184.8826904296875,92.6290512084961,1.0,187.82911682128906,136.30433654785156,1.0,224.0847930908203,122.589111328125,1.0,222.54159545898438,162.194091796875,0.9999994039535522
67,128.86941528320312,89.92755889892578,1.0,156.41204833984375,103.74185180664062,1.0,163.98855590820312,73.38666534423828,1.0,178.6794891357422,95.98609161376953,1.0,188.5950469970703,137.97166442871094,1.0,223.43629455566406,120.6708755493164,0.9999998807907104,222.83154296875,158.310791015625,0.9999998807907104
68,116.53675842285156,95.37910461425781,1.0,144.86756896972656,108.27368927001953,1.0,149.7509765625,78.86675262451172,1.0,166.19412231445312,98.55615234375,1.0,185.643310546875,138.77247619628906,1.0,217.11570739746094,117.33170318603516,0.9999998807907104,223.17486572265625,153.9660186767578,0.9999994039535522
69,103.04375457763672,96.3402099609375,1.0,132.12664794921875,109.31119537353516,1.0,135.34703063964844,80.94135284423828,1.0,151.7425537109375,99.14878845214844,1.0,178.9786376953125,135.3674774169922,1.0,202.14491271972656,107.4428939819336,0.9999998807907104,218.09707641601562,143.71612548828125,1.0
70,91.74388122558594,97.03890991210938,1.0,120.46851348876953,109.02210998535156,1.0,122.7741928100586,82.92558288574219,1.0,140.85792541503906,99.53824615478516,1.0,170.63824462890625,132.96327209472656,1.0,190.2185516357422,103.55413055419922,1.0,210.17735290527344,134.41030883789062,1.0
71,86.48707580566406,97.58722686767578,1.0,114.23297119140625,108.7247085571289,1.0,114.9371337890625,80.78900909423828,1.0,134.65968322753906,98.05397033691406,1.0,168.39573669433594,132.57896423339844,1.0,181.8184051513672,99.79689025878906,1.0,208.85592651367188,131.5941619873047,1.0
72,71.64539337158203,105.28760528564453,1.0,98.28590393066406,111.54010009765625,1.0,96.06332397460938,85.79173278808594,1.0,117.15290832519531,100.65828704833984,1.0,162.33921813964844,131.01327514648438,1.0,167.27099609375,94.53694152832031,0.9999998807907104,201.29071044921875,124.62820434570312,1.0
73,68.54071044921875,105.63209533691406,1.0,95.55448913574219,113.59942626953125,1.0,91.51817321777344,87.26864624023438,1.0,112.36399841308594,102.37593078613281,1.0,159.86553955078125,130.7224884033203,1.0,163.1953125,94.17879486083984,1.0,199.0061798095703,122.8232192993164,1.0
74,61.1546630859375,107.59669494628906,1.0,82.97158813476562,117.13800811767578,1.0,83.7369384765625,89.02873229980469,1.0,105.04802703857422,105.5525894165039,1.0,155.04676818847656,132.55026245117188,1.0,156.99703979492188,95.4898452758789,1.0,192.95379638671875,122.218994140625,1.0
75,58.00640106201172,108.58777618408203,1.0,75.86438751220703,116.4080581665039,1.0,75.9932632446289,90.00895690917969,1.0,97.28826141357422,106.72095489501953,1.0,149.52952575683594,133.32508850097656,0.9999998807907104,150.7178955078125,97.22388458251953,1.0,187.13528442382812,123.74777221679688,1.0
76,58.47612762451172,110.62129211425781,1.0,70.36778259277344,117.95057678222656,1.0,72.06410217285156,90.77735900878906,1.0,92.5525894165039,107.72673797607422,1.0,143.41525268554688,137.9923095703125,0.9999998807907104,148.0078125,99.50731658935547,1.0,184.6649932861328,124.2304916381836,1.0
77,54.02870559692383,113.9979476928711,1.0,71.9470443725586,119.26634216308594,1.0,71.49502563476562,92.72262573242188,1.0,92.67317962646484,108.38650512695312,1.0,143.69436645507812,138.26170349121094,0.9999998807907104,148.2171173095703,99.81040954589844,1.0,184.38230895996094,123.85358428955078,1.0
78,50.457420349121094,118.70374298095703,1.0,74.02427673339844,122.84262084960938,1.0,69.32449340820312,96.68251037597656,1.0,94.647705078125,111.55099487304688,1.0,144.59324645996094,138.9579315185547,1.0,148.71392822265625,100.56951141357422,1.0,185.04513549804688,121.26805877685547,1.0
79,52.07379150390625,119.76239776611328,1.0,76.06793212890625,125.02315521240234,1.0,70.74842834472656,99.50898742675781,1.0,96.44587707519531,112.1685791015625,1.0,145.77122497558594,139.6900177001953,1.0,149.80984497070312,101.54541778564453,1.0,185.46890258789062,121.3077392578125,1.0
